title,authors,about
Mobilizing Social Capital: An Exploration of the Forms of Mobilization Employed by Extinction Rebellion.,"Prisk, Dan",Methods: movement document analysis.
Mobilizing Social Capital: An Exploration of the Forms of Mobilization Employed by Extinction Rebellion.,"Prisk, Dan","Theory: resource mobilization theory (McCarthy and Zald), Bourdieu."
The Place of Helicopters: Understanding the Ways of Valuing Nature in Mountain Biking.,"Prisk, Dan and Nicholas Scott","Methods: document and media analysis, interviews, auto-ethnography."
The Place of Helicopters: Understanding the Ways of Valuing Nature in Mountain Biking.,"Prisk, Dan and Nicholas Scott","Theory: pragmatic sociology (Boltanski and Thévenot), place-based pedagogy."
